Date,windspeed,ratedpoweroutput,SCORE,CorrectedScore
2006-01-01 00:00:00,14.100,28.062,25.875,25.875
2006-01-01 00:10:00,14.660,28.893,29.513,29.513
2006-01-01 00:20:00,15.070,29.367,30.000,30.000
2006-01-01 00:30:00,14.360,28.548,26.259,26.259
2006-01-01 00:40:00,14.240,28.410,27.542,27.542
2006-01-01 00:50:00,14.650,28.896,27.907,27.907
2006-01-01 01:00:00,14.920,29.208,27.194,27.194
2006-01-01 01:10:00,15.580,29.730,28.711,28.711
2006-01-01 01:20:00,16.070,29.862,30.000,30.000
2006-01-01 01:30:00,16.410,29.952,29.740,29.740
2006-01-01 01:40:00,16.340,29.937,30.000,30.000
2006-01-01 01:50:00,16.050,29.859,30.000,30.000
2006-01-01 02:00:00,15.710,29.766,29.402,29.402
2006-01-01 02:10:00,15.340,29.664,27.012,27.012
2006-01-01 02:20:00,15.200,29.544,27.895,27.895
2006-01-01 02:30:00,15.420,29.688,30.000,30.000
2006-01-01 02:40:00,15.830,29.799,27.679,27.679
2006-01-01 02:50:00,16.420,29.952,29.222,29.222
2006-01-01 03:00:00,16.870,29.973,29.642,29.642
2006-01-01 03:10:00,16.870,29.973,27.548,27.548
2006-01-01 03:20:00,16.860,29.973,30.000,30.000
2006-01-01 03:30:00,17.050,29.979,29.223,29.223
2006-01-01 03:40:00,16.780,29.967,27.760,27.760
2006-01-01 03:50:00,16.450,29.952,30.000,30.000
2006-01-01 04:00:00,16.330,29.934,30.000,30.000
2006-01-01 04:10:00,16.170,29.889,30.000,30.000
2006-01-01 04:20:00,16.100,29.874,29.954,29.954
2006-01-01 04:30:00,16.000,29.844,29.039,29.039
2006-01-01 04:40:00,15.650,29.751,30.000,30.000
2006-01-01 04:50:00,15.280,29.643,30.000,30.000
2006-01-01 05:00:00,15.150,29.487,30.000,30.000
2006-01-01 05:10:00,15.140,29.478,30.000,30.000
2006-01-01 05:20:00,15.280,29.643,30.000,30.000
2006-01-01 05:30:00,15.240,29.592,29.610,29.610
2006-01-01 05:40:00,15.430,29.688,30.000,30.000
2006-01-01 05:50:00,15.280,29.640,30.000,30.000
2006-01-01 06:00:00,14.550,28.791,30.000,30.000
2006-01-01 06:10:00,14.120,28.170,29.344,29.344
2006-01-01 06:20:00,13.630,26.886,27.296,27.296
2006-01-01 06:30:00,12.870,24.624,25.609,25.609
2006-01-01 06:40:00,12.570,23.523,25.804,25.804
2006-01-01 06:50:00,11.830,20.787,21.816,21.816
2006-01-01 07:00:00,11.260,18.501,20.252,20.252
2006-01-01 07:10:00,11.320,18.726,19.793,19.793
2006-01-01 07:20:00,11.740,20.427,20.638,20.638
2006-01-01 07:30:00,11.640,20.016,20.988,20.988
2006-01-01 07:40:00,10.820,16.737,15.743,15.743
2006-01-01 07:50:00,9.960,13.320,14.177,14.177
2006-01-01 08:00:00,8.690, 8.784, 9.967,9.967
2006-01-01 08:10:00,9.710,12.378,13.351,13.351
2006-01-01 08:20:00,13.250,25.917,29.200,29.200
2006-01-01 08:30:00,16.540,29.958,30.000,30.000
2006-01-01 08:40:00,18.600,30.000,29.041,29.041
2006-01-01 08:50:00,19.040,30.000,29.413,29.413
2006-01-01 09:00:00,18.510,30.000,30.000,30.000
2006-01-01 09:10:00,18.010,30.000,30.000,30.000
2006-01-01 09:20:00,17.800,30.000,28.673,28.673
2006-01-01 09:30:00,17.380,29.997,28.094,28.094
2006-01-01 09:40:00,16.680,29.967,29.795,29.795
2006-01-01 09:50:00,15.970,29.847,30.000,30.000
2006-01-01 10:00:00,15.140,29.523,30.000,30.000
2006-01-01 10:10:00,14.470,28.737,29.481,29.481
2006-01-01 10:20:00,14.050,28.080,29.929,29.929
2006-01-01 10:30:00,14.160,28.374,28.404,28.404
2006-01-01 10:40:00,14.920,29.268,30.000,30.000
2006-01-01 10:50:00,15.570,29.739,28.839,28.839
2006-01-01 11:00:00,15.720,29.781,30.000,30.000
2006-01-01 11:10:00,15.440,29.703,30.000,30.000
2006-01-01 11:20:00,14.260,28.494,28.554,28.554
2006-01-01 11:30:00,13.870,27.597,30.000,30.000
2006-01-01 11:40:00,14.500,28.773,29.066,29.066
2006-01-01 11:50:00,15.870,29.823,28.354,28.354
2006-01-01 12:00:00,17.070,29.985,29.925,29.925
2006-01-01 12:10:00,18.080,30.000,29.030,29.030
2006-01-01 12:20:00,18.570,30.000,30.000,30.000
2006-01-01 12:30:00,18.050,30.000,30.000,30.000
2006-01-01 12:40:00,17.430,30.000,30.000,30.000
2006-01-01 12:50:00,17.310,29.994,29.734,29.734
2006-01-01 13:00:00,17.600,30.000,29.711,29.711
2006-01-01 13:10:00,18.210,30.000,29.715,29.715
2006-01-01 13:20:00,19.170,30.000,30.000,30.000
2006-01-01 13:30:00,18.990,30.000,28.940,28.940
2006-01-01 13:40:00,17.980,30.000,30.000,30.000
2006-01-01 13:50:00,17.540,30.000,30.000,30.000
2006-01-01 14:00:00,17.550,30.000,28.182,28.182
2006-01-01 14:10:00,17.890,30.000,30.000,30.000
2006-01-01 14:20:00,18.160,30.000,29.583,29.583
2006-01-01 14:30:00,18.170,30.000,30.000,30.000
2006-01-01 14:40:00,17.430,30.000,28.849,28.849
2006-01-01 14:50:00,16.350,29.952,29.752,29.752
2006-01-01 15:00:00,15.720,29.787,29.506,29.506
2006-01-01 15:10:00,15.550,29.742,30.000,30.000
2006-01-01 15:20:00,15.540,29.739,30.000,30.000
2006-01-01 15:30:00,15.180,29.607,30.000,30.000
