Date(YYYY-MM-DD hh:mm:ss),100m wind speed (m/s), rated power output at 100m (MW), SCORE-lite power output at 100m (MW),CorrectedScore
2006-01-01 00:00:00,14.670,28.902,30.000,30.000
2006-01-01 00:10:00,14.270,28.449,29.065,29.065
2006-01-01 00:20:00,15.150,29.475,30.000,30.000
2006-01-01 00:30:00,14.790,29.055,30.000,30.000
2006-01-01 00:40:00,14.340,28.530,30.000,30.000
2006-01-01 00:50:00,14.720,28.983,28.369,28.369
2006-01-01 01:00:00,15.090,29.421,29.538,29.538
2006-01-01 01:10:00,15.420,29.688,29.858,29.858
2006-01-01 01:20:00,15.930,29.826,30.000,30.000
2006-01-01 01:30:00,16.290,29.925,30.000,30.000
2006-01-01 01:40:00,16.510,29.955,28.986,28.986
2006-01-01 01:50:00,16.430,29.952,30.000,30.000
2006-01-01 02:00:00,16.280,29.925,30.000,30.000
2006-01-01 02:10:00,16.090,29.874,30.000,30.000
2006-01-01 02:20:00,15.910,29.823,30.000,30.000
2006-01-01 02:30:00,15.980,29.844,29.710,29.710
2006-01-01 02:40:00,16.500,29.955,30.000,30.000
2006-01-01 02:50:00,17.140,29.985,30.000,30.000
2006-01-01 03:00:00,17.750,30.000,30.000,30.000
2006-01-01 03:10:00,17.990,30.000,29.685,29.685
2006-01-01 03:20:00,17.890,30.000,30.000,30.000
2006-01-01 03:30:00,18.200,30.000,30.000,30.000
2006-01-01 03:40:00,18.540,30.000,30.000,30.000
2006-01-01 03:50:00,18.470,30.000,30.000,30.000
2006-01-01 04:00:00,18.540,30.000,30.000,30.000
2006-01-01 04:10:00,18.500,30.000,29.142,29.142
2006-01-01 04:20:00,18.470,30.000,30.000,30.000
2006-01-01 04:30:00,18.580,30.000,30.000,30.000
2006-01-01 04:40:00,18.560,30.000,29.947,29.947
2006-01-01 04:50:00,18.260,30.000,30.000,30.000
2006-01-01 05:00:00,18.130,30.000,30.000,30.000
2006-01-01 05:10:00,18.030,30.000,30.000,30.000
2006-01-01 05:20:00,18.100,30.000,30.000,30.000
