DATE(MM/DD/YYYY),MST,Avg Wind Speed @ 40ft [MPH],Avg Wind Direction @ 40ft [deg from N]
1/1/2006,00:00,1.282,88.1
1/1/2006,00:10,2.637,111.9
1/1/2006,00:20,3.498,101.7
1/1/2006,00:30,1.732,134.1
1/1/2006,00:40,2.63,159.7
1/1/2006,00:50,1.706,111.5
1/1/2006,01:00,3.768,155.8
1/1/2006,01:10,3.158,127.3
1/1/2006,01:20,3.021,119.1
1/1/2006,01:30,2.989,117.3
1/1/2006,01:40,.992,87.3
1/1/2006,01:50,1.491,75.1
1/1/2006,02:00,1.894,158.3
1/1/2006,02:10,1.6,122.9
1/1/2006,02:20,2.995,77.3
1/1/2006,02:30,3.882,72.9
1/1/2006,02:40,3.473,314.2
1/1/2006,02:50,2.995,93.8
1/1/2006,03:00,1.74,243
1/1/2006,03:10,5.97,157.7
1/1/2006,03:20,2.463,180.3
1/1/2006,03:30,3.592,148.5
1/1/2006,03:40,2.696,132.8
1/1/2006,03:50,2.543,11.12
1/1/2006,04:00,2.556,84.8
1/1/2006,04:10,1.716,119
1/1/2006,04:20,2.445,138.3
1/1/2006,04:30,2.779,92.4
1/1/2006,04:40,3.235,115.8
1/1/2006,04:50,4.243,86.2
1/1/2006,05:00,2.474,95.3
1/1/2006,05:10,1.66,88.6
1/1/2006,05:20,2.24,148.4
1/1/2006,05:30,2.501,120
1/1/2006,05:40,.793,241.5
1/1/2006,05:50,4.846,33.13
1/1/2006,06:00,1.161,59.7
1/1/2006,06:10,1.936,15.18
1/1/2006,06:20,3.769,26.39
1/1/2006,06:30,3.08,23.22
1/1/2006,06:40,2.887,342
1/1/2006,06:50,4.047,345.4
1/1/2006,07:00,3.896,350.7
1/1/2006,07:10,2.44,337.2
1/1/2006,07:20,1.68,346
1/1/2006,07:30,2.579,341.4
1/1/2006,07:40,3.067,340.1
1/1/2006,07:50,3.358,313
1/1/2006,08:00,5.667,286.1
1/1/2006,08:10,7.11,298.1
1/1/2006,08:20,7.24,300
1/1/2006,08:30,7.62,311.9
1/1/2006,08:40,9.57,316.9
1/1/2006,08:50,13.86,322.1
1/1/2006,09:00,12.49,306
1/1/2006,09:10,11.95,327.6
1/1/2006,09:20,13.45,300.9
1/1/2006,09:30,8.49,299.5
1/1/2006,09:40,8.69,297.7
1/1/2006,09:50,11.67,299.1
1/1/2006,10:00,12.76,317.9
1/1/2006,10:10,14.77,310
1/1/2006,10:20,13.83,313.8
1/1/2006,10:30,15.74,314
1/1/2006,10:40,16.78,294
1/1/2006,10:50,13.2,330
1/1/2006,11:00,13.01,297.9
1/1/2006,11:10,8.47,306.4
1/1/2006,11:20,16.53,299
1/1/2006,11:30,15.52,301.7
1/1/2006,11:40,18.91,296
1/1/2006,11:50,11.5,316.9
1/1/2006,12:00,13.03,327.1
1/1/2006,12:10,14.92,320.2
1/1/2006,12:20,15.55,312.7
1/1/2006,12:30,18.82,298.8
1/1/2006,12:40,19.75,294.8
1/1/2006,12:50,20.6,293.1
1/1/2006,13:00,16.32,288.3
1/1/2006,13:10,15.01,294.9
1/1/2006,13:20,16.64,291.1
1/1/2006,13:30,19.91,294.6
1/1/2006,13:40,19.59,288.2
1/1/2006,13:50,16.54,288.3
1/1/2006,14:00,16.39,296.7
1/1/2006,14:10,19.61,293.3
1/1/2006,14:20,20.94,295.9
1/1/2006,14:30,14.96,321.7
1/1/2006,14:40,16.05,291
1/1/2006,14:50,15.69,287.1
1/1/2006,15:00,15.72,287.6
1/1/2006,15:10,15.67,285.2
1/1/2006,15:20,13.08,289
1/1/2006,15:30,12.14,297.2
1/1/2006,15:40,10.72,289.9
1/1/2006,15:50,12.24,298.4
1/1/2006,16:00,9.86,303.4
1/1/2006,16:10,11.17,300.6
1/1/2006,16:20,12.35,290.8
1/1/2006,16:30,14.1,290.2
1/1/2006,16:40,13,295.4
1/1/2006,16:50,15.1,284.4
1/1/2006,17:00,16.19,295.3
1/1/2006,17:10,12.57,312.9
1/1/2006,17:20,7.33,291.6
1/1/2006,17:30,10.95,286.8
1/1/2006,17:40,10.96,299.5
1/1/2006,17:50,12.16,295.6
1/1/2006,18:00,12.61,300.3
1/1/2006,18:10,10.38,290.2
1/1/2006,18:20,14.08,303.5
1/1/2006,18:30,14.1,306.7
1/1/2006,18:40,13.55,320.8
1/1/2006,18:50,10.23,301.6
1/1/2006,19:00,8.43,270.2
1/1/2006,19:10,2.474,313
1/1/2006,19:20,7.54,290.5
1/1/2006,19:30,9.28,298.9
1/1/2006,19:40,7.53,280.3
1/1/2006,19:50,8.47,275.8
1/1/2006,20:00,6.601,319.4
1/1/2006,20:10,5.084,305.2
1/1/2006,20:20,8.27,282.5
1/1/2006,20:30,7.75,273.5
1/1/2006,20:40,8.5,271
1/1/2006,20:50,8.17,286.6
1/1/2006,21:00,8.5,290.4
1/1/2006,21:10,3.872,324.8
1/1/2006,21:20,5.819,284.7
1/1/2006,21:30,4.312,270.6
1/1/2006,21:40,3.756,129.9
1/1/2006,21:50,3.664,79.6
1/1/2006,22:00,4.118,108
1/1/2006,22:10,4.154,109.7
1/1/2006,22:20,4.002,87.9
1/1/2006,22:30,2.502,10.02
1/1/2006,22:40,9.56,294.1
1/1/2006,22:50,10.97,319.6
1/1/2006,23:00,11.55,310.9
1/1/2006,23:10,11.3,324.1
1/1/2006,23:20,7.88,281.9
1/1/2006,23:30,7.89,288.5
1/1/2006,23:40,11.13,319.5
1/1/2006,23:50,11.21,326.4
1/2/2006,00:00,11.68,320.8
1/2/2006,00:10,9.52,317.3
1/2/2006,00:20,6.298,324.7
1/2/2006,00:30,8.19,320.7
1/2/2006,00:40,8.48,315.4
1/2/2006,00:50,6.24,301.9
1/2/2006,01:00,4.325,317.4
1/2/2006,01:10,2.774,267.7
1/2/2006,01:20,4.905,319.2
1/2/2006,01:30,2.788,328.8
1/2/2006,01:40,4.297,332.2
1/2/2006,01:50,2.392,302.8
1/2/2006,02:00,3.751,340.9
1/2/2006,02:10,3.436,346.8
1/2/2006,02:20,5.57,348.1
1/2/2006,02:30,4.678,348
1/2/2006,02:40,3.223,342.7
1/2/2006,02:50,7.24,355.4
1/2/2006,03:00,5.265,345.3
1/2/2006,03:10,1.36,176
1/2/2006,03:20,3.649,94
1/2/2006,03:30,1.242,93.2
1/2/2006,03:40,2.426,18.81
1/2/2006,03:50,4.305,.898
1/2/2006,04:00,4.79,359.7
1/2/2006,04:10,3.388,357.6
1/2/2006,04:20,3.682,4.757
1/2/2006,04:30,4.77,10.92
1/2/2006,04:40,3.635,26.92
1/2/2006,04:50,2.65,17.67
1/2/2006,05:00,4.55,353.4
1/2/2006,05:10,5.034,357.8
1/2/2006,05:20,5.403,3.944
1/2/2006,05:30,6.002,18.78
1/2/2006,05:40,5.536,20.36
1/2/2006,05:50,3.319,14.44
1/2/2006,06:00,4.395,16.83
1/2/2006,06:10,5.321,13.44
1/2/2006,06:20,3.165,135.8
1/2/2006,06:30,3.517,98.4
1/2/2006,06:40,2.204,117.5
1/2/2006,06:50,2.428,121.7
1/2/2006,07:00,1.31,75.5
1/2/2006,07:10,1.701,87.5
1/2/2006,07:20,1.953,93
1/2/2006,07:30,1.238,101.7
1/2/2006,07:40,1.083,96.1
1/2/2006,07:50,1.597,131.8
1/2/2006,08:00,.902,92.5
1/2/2006,08:10,2.129,70.8
1/2/2006,08:20,2.486,33.26
1/2/2006,08:30,1.827,49.63
1/2/2006,08:40,.839,48.94
1/2/2006,08:50,1.091,40.29
1/2/2006,09:00,1.206,168
1/2/2006,09:10,3.545,159.9
1/2/2006,09:20,2.345,183.5
1/2/2006,09:30,2.518,174.6
1/2/2006,09:40,5.533,130.3
1/2/2006,09:50,3.539,164.8
1/2/2006,10:00,2.432,241.7
1/2/2006,10:10,1.219,245.3
1/2/2006,10:20,2.812,300.7
1/2/2006,10:30,2.763,4.053
1/2/2006,10:40,.987,52.97
1/2/2006,10:50,3.153,199.1
1/2/2006,11:00,2.616,225.9
1/2/2006,11:10,5.44,196.2
1/2/2006,11:20,9.61,230.6
1/2/2006,11:30,11.4,236.7
1/2/2006,11:40,12.12,246.4
1/2/2006,11:50,12.76,263.2
1/2/2006,12:00,12.34,270.3
1/2/2006,12:10,9.32,293.5
1/2/2006,12:20,7.24,276.5
1/2/2006,12:30,8.13,261.4
1/2/2006,12:40,6.162,320.3
1/2/2006,12:50,8.77,200.5
1/2/2006,13:00,10.44,211
1/2/2006,13:10,10.31,192.2
1/2/2006,13:20,10.58,203.4
1/2/2006,13:30,12.82,193.9
1/2/2006,13:40,11.37,207.3
1/2/2006,13:50,11.63,186.8
1/2/2006,14:00,10.01,181.8
1/2/2006,14:10,10.48,188.1
1/2/2006,14:20,13.13,186
1/2/2006,14:30,9.04,194.3
1/2/2006,14:40,9.28,187.7
1/2/2006,14:50,8.08,186.8
1/2/2006,15:00,8.68,189
1/2/2006,15:10,7.79,185.9
1/2/2006,15:20,6.535,210.1
1/2/2006,15:30,6.554,192.4
1/2/2006,15:40,5.537,192.8
1/2/2006,15:50,6.256,185.9
1/2/2006,16:00,6.806,194.5
1/2/2006,16:10,5.981,189.2
1/2/2006,16:20,6.538,178.2
1/2/2006,16:30,5.695,173.1
1/2/2006,16:40,6.471,180.8
1/2/2006,16:50,7.35,179.9
1/2/2006,17:00,5.905,166.9
1/2/2006,17:10,6.012,170.8
1/2/2006,17:20,4.338,144.6
1/2/2006,17:30,3.245,106.3
1/2/2006,17:40,3.141,116.7
1/2/2006,17:50,3.091,127.9
1/2/2006,18:00,3.591,150.7
1/2/2006,18:10,5.292,156
1/2/2006,18:20,3.001,164.6
1/2/2006,18:30,2.476,123
1/2/2006,18:40,2.665,151.8
1/2/2006,18:50,4.276,130.6
1/2/2006,19:00,3.386,125.7
1/2/2006,19:10,1.657,133.8
1/2/2006,19:20,1.805,139.5
1/2/2006,19:30,1.817,100.3
1/2/2006,19:40,2.341,150.8
1/2/2006,19:50,4.131,150.2
1/2/2006,20:00,6.139,161.7
1/2/2006,20:10,5.179,187.7
1/2/2006,20:20,3.289,142.4
1/2/2006,20:30,3.811,121.4
1/2/2006,20:40,1.35,104.5
1/2/2006,20:50,2.53,179.3
1/2/2006,21:00,4.341,145.9
1/2/2006,21:10,4.784,157
1/2/2006,21:20,5.632,158.3
1/2/2006,21:30,5.088,169.2
1/2/2006,21:40,5.411,165.4
1/2/2006,21:50,3.291,163.6
1/2/2006,22:00,2.678,170.5
1/2/2006,22:10,2.781,177.9
1/2/2006,22:20,4.144,157
1/2/2006,22:30,1.938,153
1/2/2006,22:40,2.817,168.8
1/2/2006,22:50,3.364,153.9
1/2/2006,23:00,2.867,154.7
1/2/2006,23:10,2.578,130.3
1/2/2006,23:20,3.172,146.4
1/2/2006,23:30,3.701,145.2
1/2/2006,23:40,2.065,105.3
1/2/2006,23:50,1.45,109.8
1/3/2006,00:00,1.599,140.7
1/3/2006,00:10,1.794,123.7
1/3/2006,00:20,2.509,122.1
1/3/2006,00:30,3.05,118.1
1/3/2006,00:40,2.616,117.2
1/3/2006,00:50,3.872,112.1
1/3/2006,01:00,4.511,105.9
1/3/2006,01:10,1.119,228.9
1/3/2006,01:20,3.7,123.7
1/3/2006,01:30,3.599,139.3
1/3/2006,01:40,3.38,139.2
1/3/2006,01:50,2.101,142.1
1/3/2006,02:00,2.115,129.4
1/3/2006,02:10,3.293,124.8
1/3/2006,02:20,2.016,125.2
1/3/2006,02:30,1.164,129
1/3/2006,02:40,2.69,133.6
1/3/2006,02:50,1.356,147.5
1/3/2006,03:00,1.864,157.8
1/3/2006,03:10,1.352,110.2
1/3/2006,03:20,1.402,126.8
1/3/2006,03:30,2.557,113.3
1/3/2006,03:40,1.751,143.2
1/3/2006,03:50,2.019,134.8
1/3/2006,04:00,2.827,111.5
1/3/2006,04:10,2.163,131.7
1/3/2006,04:20,1.73,117
1/3/2006,04:30,1.245,64.15
1/3/2006,04:40,2.919,115.4
1/3/2006,04:50,4.412,118.9
1/3/2006,05:00,2.642,112.2
1/3/2006,05:10,1.399,92.2
1/3/2006,05:20,1.811,123.8
1/3/2006,05:30,.943,8.04
1/3/2006,05:40,3.06,124.9
1/3/2006,05:50,3.305,111.9
1/3/2006,06:00,2.542,141.5
1/3/2006,06:10,3.365,162.3
1/3/2006,06:20,2.149,126.9
1/3/2006,06:30,4.375,134.6
1/3/2006,06:40,3.83,144.3
1/3/2006,06:50,5.721,140.1
1/3/2006,07:00,4.548,157.4
1/3/2006,07:10,4.635,147.6
1/3/2006,07:20,4.705,158.2
1/3/2006,07:30,4.659,147.7
1/3/2006,07:40,5.348,152.6
1/3/2006,07:50,9.78,222.1
1/3/2006,08:00,11.13,219.3
1/3/2006,08:10,9.76,202.5
1/3/2006,08:20,8.65,215.6
1/3/2006,08:30,8.12,216.2
1/3/2006,08:40,5.817,197.9
1/3/2006,08:50,5.204,204.6
1/3/2006,09:00,3.557,196.6
1/3/2006,09:10,3.895,195.1
1/3/2006,09:20,4.108,200.6
1/3/2006,09:30,4.68,281
1/3/2006,09:40,6.356,295.8
1/3/2006,09:50,5.426,288.5
1/3/2006,10:00,8.96,272.3
1/3/2006,10:10,7.06,251.5
1/3/2006,10:20,8.62,267.9
1/3/2006,10:30,7,265.4
1/3/2006,10:40,5.456,277.4
1/3/2006,10:50,6.477,264.9
1/3/2006,11:00,6.453,245.4
1/3/2006,11:10,8.64,256.5
1/3/2006,11:20,10.51,251.9
1/3/2006,11:30,11.22,292.2
1/3/2006,11:40,14.47,309
1/3/2006,11:50,13.36,296.1
1/3/2006,12:00,6.92,297.2
1/3/2006,12:10,10.92,303.1
1/3/2006,12:20,8.08,293.5
1/3/2006,12:30,7.31,283.1
1/3/2006,12:40,8.7,294.4
1/3/2006,12:50,12.44,317.5
1/3/2006,13:00,10.31,290.4
1/3/2006,13:10,11,290.2
1/3/2006,13:20,9.47,285.2
1/3/2006,13:30,7.28,326.1
1/3/2006,13:40,6.53,292.7
1/3/2006,13:50,11.01,316
1/3/2006,14:00,11.55,321.1
1/3/2006,14:10,9.92,319.4
1/3/2006,14:20,8.28,320.8
1/3/2006,14:30,10.97,319.8
1/3/2006,14:40,8.87,288.7
1/3/2006,14:50,8.14,289.3
1/3/2006,15:00,6.413,270.4
1/3/2006,15:10,7.35,297.6
1/3/2006,15:20,9.08,287.6
1/3/2006,15:30,12.34,312
1/3/2006,15:40,9.13,312.6
1/3/2006,15:50,9.17,330.8
1/3/2006,16:00,8.82,326.5
1/3/2006,16:10,10.86,317
1/3/2006,16:20,10.99,296.7
1/3/2006,16:30,9.94,303.1
1/3/2006,16:40,8.19,298.9
1/3/2006,16:50,8.61,308.8
1/3/2006,17:00,8.53,316.2
1/3/2006,17:10,10.3,311.8
1/3/2006,17:20,6.194,322.9
1/3/2006,17:30,8.86,328
1/3/2006,17:40,7.31,327.9
1/3/2006,17:50,9.13,324
1/3/2006,18:00,7.54,338
1/3/2006,18:10,10,333.3
1/3/2006,18:20,7.81,327.4
1/3/2006,18:30,9.03,324
1/3/2006,18:40,7.21,329.7
1/3/2006,18:50,10.85,298.7
1/3/2006,19:00,2.499,330.2
1/3/2006,19:10,4.725,296.7
1/3/2006,19:20,4.275,336.8
1/3/2006,19:30,7.2,331.8
1/3/2006,19:40,6.731,338.1
1/3/2006,19:50,7.95,347.1
1/3/2006,20:00,5.993,341.7
1/3/2006,20:10,5.171,346.2
1/3/2006,20:20,4.58,354.5
1/3/2006,20:30,4.659,358.2
1/3/2006,20:40,5.394,2.635
1/3/2006,20:50,5.388,3.008
1/3/2006,21:00,4.678,357.4
1/3/2006,21:10,6.646,8.82
1/3/2006,21:20,6.314,4.011
1/3/2006,21:30,6.936,359.5
1/3/2006,21:40,6.663,357.6
1/3/2006,21:50,6.049,353.9
1/3/2006,22:00,4.636,350.2
1/3/2006,22:10,5.578,349.5
1/3/2006,22:20,7.71,356.5
1/3/2006,22:30,6.839,350.8
1/3/2006,22:40,6.635,337.1
1/3/2006,22:50,8.32,337.8
1/3/2006,23:00,8.21,339
1/3/2006,23:10,4.428,339.5
1/3/2006,23:20,2.742,333
1/3/2006,23:30,3.087,325.8
1/3/2006,23:40,1.982,347.8
1/3/2006,23:50,3.333,112.4
1/4/2006,00:00,3.32,66.62
1/4/2006,00:10,1.094,58.01
1/4/2006,00:20,1.362,89.5
1/4/2006,00:30,2.143,149.7
1/4/2006,00:40,2.263,94.8
1/4/2006,00:50,2.479,326
1/4/2006,01:00,3.164,346.9
1/4/2006,01:10,4.866,342.1
1/4/2006,01:20,3.954,.321
1/4/2006,01:30,2.299,344.1
1/4/2006,01:40,.964,254.2
1/4/2006,01:50,1.85,11.51
1/4/2006,02:00,3.915,344.8
1/4/2006,02:10,3.286,11.88
1/4/2006,02:20,1.325,81.2
1/4/2006,02:30,.903,34.24
1/4/2006,02:40,2.043,21.49
1/4/2006,02:50,2.112,14.57
1/4/2006,03:00,1.616,9.33
1/4/2006,03:10,2.556,24.36
1/4/2006,03:20,1.273,95
1/4/2006,03:30,.832,59.5
1/4/2006,03:40,1.127,121.8
1/4/2006,03:50,1.612,97.1
1/4/2006,04:00,.795,64.73
1/4/2006,04:10,.794,130.4
1/4/2006,04:20,.792,158.5
1/4/2006,04:30,.792,230
1/4/2006,04:40,.793,194.9
1/4/2006,04:50,1.095,35.47
1/4/2006,05:00,1.338,97.3
1/4/2006,05:10,1.005,57.28
1/4/2006,05:20,.793,123.8
1/4/2006,05:30,1.479,101.1
1/4/2006,05:40,1.314,123.8
1/4/2006,05:50,1.859,90.2
1/4/2006,06:00,1.458,53.44
1/4/2006,06:10,1.096,339.2
1/4/2006,06:20,2.482,38.74
1/4/2006,06:30,1.717,44.7
1/4/2006,06:40,2.165,43.67
1/4/2006,06:50,1.489,44.97
1/4/2006,07:00,2.091,6.396
1/4/2006,07:10,.901,140.3
1/4/2006,07:20,.792,32.23
1/4/2006,07:30,2.73,91.4
1/4/2006,07:40,2.475,356.4
1/4/2006,07:50,1.142,2.297
1/4/2006,08:00,1.091,327.1
1/4/2006,08:10,.903,77.4
1/4/2006,08:20,1.265,326.8
1/4/2006,08:30,.853,139.2
1/4/2006,08:40,1.195,319.6
