Date(YYYY-MM-DD hh:mm:ss),AvgWindSpeed,AvgWindDirection
2006-01-01 00:00:00,1.282,88.1
2006-01-01 00:10:00,2.637,111.9
2006-01-01 00:20:00,3.498,101.7
2006-01-01 00:30:00,1.732,134.1
2006-01-01 00:40:00,2.63,159.7
2006-01-01 00:50:00,1.706,111.5
2006-01-01 01:00:00,3.768,155.8
2006-01-01 01:10:00,3.158,127.3
2006-01-01 01:20:00,3.021,119.1
2006-01-01 01:30:00,2.989,117.3
2006-01-01 01:40:00,.992,87.3
2006-01-01 01:50:00,1.491,75.1
2006-01-01 02:00:00,1.894,158.3
2006-01-01 02:10:00,1.6,122.9
2006-01-01 02:20:00,2.995,77.3
2006-01-01 02:30:00,3.882,72.9
2006-01-01 02:40:00,3.473,314.2
2006-01-01 02:50:00,2.995,93.8
2006-01-01 03:00:00,1.74,243
2006-01-01 03:10:00,5.97,157.7
2006-01-01 03:20:00,2.463,180.3
2006-01-01 03:30:00,3.592,148.5
2006-01-01 03:40:00,2.696,132.8
2006-01-01 03:50:00,2.543,11.12
2006-01-01 04:00:00,2.556,84.8
2006-01-01 04:10:00,1.716,119
2006-01-01 04:20:00,2.445,138.3
2006-01-01 04:30:00,2.779,92.4
2006-01-01 04:40:00,3.235,115.8
2006-01-01 04:50:00,4.243,86.2
2006-01-01 05:00:00,2.474,95.3
2006-01-01 05:10:00,1.66,88.6
2006-01-01 05:20:00,2.24,148.4
2006-01-01 05:30:00,2.501,120
2006-01-01 05:40:00,.793,241.5
2006-01-01 05:50:00,4.846,33.13
2006-01-01 06:00:00,1.161,59.7
2006-01-01 06:10:00,1.936,15.18
2006-01-01 06:20:00,3.769,26.39
2006-01-01 06:30:00,3.08,23.22
2006-01-01 06:40:00,2.887,342
2006-01-01 06:50:00,4.047,345.4
2006-01-01 07:00:00,3.896,350.7
2006-01-01 07:10:00,2.44,337.2
2006-01-01 07:20:00,1.68,346
2006-01-01 07:30:00,2.579,341.4
2006-01-01 07:40:00,3.067,340.1
2006-01-01 07:50:00,3.358,313
2006-01-01 08:00:00,5.667,286.1
2006-01-01 08:10:00,7.11,298.1
2006-01-01 08:20:00,7.24,300
2006-01-01 08:30:00,7.62,311.9
2006-01-01 08:40:00,9.57,316.9
2006-01-01 08:50:00,13.86,322.1
2006-01-01 09:00:00,12.49,306
2006-01-01 09:10:00,11.95,327.6
2006-01-01 09:20:00,13.45,300.9
2006-01-01 09:30:00,8.49,299.5
2006-01-01 09:40:00,8.69,297.7
2006-01-01 09:50:00,11.67,299.1
2006-01-01 10:00:00,12.76,317.9
2006-01-01 10:10:00,14.77,310
2006-01-01 10:20:00,13.83,313.8
2006-01-01 10:30:00,15.74,314
2006-01-01 10:40:00,16.78,294
2006-01-01 10:50:00,13.2,330
2006-01-01 11:00:00,13.01,297.9
2006-01-01 11:10:00,8.47,306.4
2006-01-01 11:20:00,16.53,299
2006-01-01 11:30:00,15.52,301.7
2006-01-01 11:40:00,18.91,296
2006-01-01 11:50:00,11.5,316.9
2006-01-01 12:00:00,13.03,327.1
2006-01-01 12:10:00,14.92,320.2
2006-01-01 12:20:00,15.55,312.7
2006-01-01 12:30:00,18.82,298.8
2006-01-01 12:40:00,19.75,294.8
2006-01-01 12:50:00,20.6,293.1
2006-01-01 13:00:00,16.32,288.3
2006-01-01 13:10:00,15.01,294.9
2006-01-01 13:20:00,16.64,291.1
