DATE(MM/DD/YYYY),MST,Avg Wind Speed @ 40ft [MPH],Avg Wind Direction @ 40ft [deg from N]
1/1/2006,00:00,1.282,88.1
1/1/2006,00:05,2.015,142.4
1/1/2006,00:10,2.637,111.9
1/1/2006,00:15,3.541,94.3
1/1/2006,00:20,3.498,101.7
1/1/2006,00:25,2.209,116
1/1/2006,00:30,1.732,134.1
1/1/2006,00:35,3.473,139.5
1/1/2006,00:40,2.63,159.7
1/1/2006,00:45,2.353,145.3
1/1/2006,00:50,1.706,111.5
1/1/2006,00:55,2.715,129.1
1/1/2006,01:00,3.768,155.8
1/1/2006,01:05,2.897,132.5
1/1/2006,01:10,3.158,127.3
1/1/2006,01:15,3.743,123.8
1/1/2006,01:20,3.021,119.1
1/1/2006,01:25,2.176,128.3
1/1/2006,01:30,2.989,117.3
1/1/2006,01:35,1.557,87.6
1/1/2006,01:40,.992,87.3
1/1/2006,01:45,.891,121.7
1/1/2006,01:50,1.491,75.1
1/1/2006,01:55,1.124,133
1/1/2006,02:00,1.894,158.3
1/1/2006,02:05,4.032,124.6
1/1/2006,02:10,1.6,122.9
1/1/2006,02:15,3.04,74.1
1/1/2006,02:20,2.995,77.3
1/1/2006,02:25,2.953,58.06
1/1/2006,02:30,3.882,72.9
1/1/2006,02:35,3.321,60.38
1/1/2006,02:40,3.473,314.2
1/1/2006,02:45,3.177,171.1
1/1/2006,02:50,2.995,93.8
1/1/2006,02:55,2.682,109
1/1/2006,03:00,1.74,243
1/1/2006,03:05,2.769,142.9
1/1/2006,03:10,5.97,157.7
1/1/2006,03:15,3.456,161.7
1/1/2006,03:20,2.463,180.3
1/1/2006,03:25,2.073,143.2
1/1/2006,03:30,3.592,148.5
1/1/2006,03:35,4.914,156.5
1/1/2006,03:40,2.696,132.8
1/1/2006,03:45,1.918,52.98
1/1/2006,03:50,2.543,11.12
1/1/2006,03:55,2.031,77.9
1/1/2006,04:00,2.556,84.8
1/1/2006,04:05,3.987,112.8
1/1/2006,04:10,1.716,119
1/1/2006,04:15,1.444,102
1/1/2006,04:20,2.445,138.3
1/1/2006,04:25,2.16,132.7
1/1/2006,04:30,2.779,92.4
1/1/2006,04:35,1.413,98.9
1/1/2006,04:40,3.235,115.8
1/1/2006,04:45,3.428,105.3
1/1/2006,04:50,4.243,86.2
1/1/2006,04:55,3.786,85.4
1/1/2006,05:00,2.474,95.3
1/1/2006,05:05,3.736,109.8
1/1/2006,05:10,1.66,88.6
1/1/2006,05:15,1.809,149.6
1/1/2006,05:20,2.24,148.4
1/1/2006,05:25,3.048,139.6
1/1/2006,05:30,2.501,120
1/1/2006,05:35,.815,260
1/1/2006,05:40,.793,241.5
1/1/2006,05:45,4.063,6.809
1/1/2006,05:50,4.846,33.13
1/1/2006,05:55,3.382,43.63
1/1/2006,06:00,1.161,59.7
1/1/2006,06:05,.792,237
1/1/2006,06:10,1.936,15.18
1/1/2006,06:15,3.482,10.61
1/1/2006,06:20,3.769,26.39
1/1/2006,06:25,3.673,29.28
1/1/2006,06:30,3.08,23.22
1/1/2006,06:35,3.147,15.53
1/1/2006,06:40,2.887,342
1/1/2006,06:45,3.579,1.084
1/1/2006,06:50,4.047,345.4
1/1/2006,06:55,3.431,340.9
1/1/2006,07:00,3.896,350.7
1/1/2006,07:05,2.58,338.6
1/1/2006,07:10,2.44,337.2
1/1/2006,07:15,2.048,358.9
1/1/2006,07:20,1.68,346
1/1/2006,07:25,2.755,354.7
1/1/2006,07:30,2.579,341.4
1/1/2006,07:35,2.222,345.1
1/1/2006,07:40,3.067,340.1
1/1/2006,07:45,3.183,340.1
1/1/2006,07:50,3.358,313
1/1/2006,07:55,4.337,296.9
1/1/2006,08:00,5.667,286.1
1/1/2006,08:05,8.07,294.2
1/1/2006,08:10,7.11,298.1
1/1/2006,08:15,5.077,306.4
1/1/2006,08:20,7.24,300
1/1/2006,08:25,6.152,304.9
1/1/2006,08:30,7.62,311.9
1/1/2006,08:35,6.414,313.9
1/1/2006,08:40,9.57,316.9
1/1/2006,08:45,12.42,317.4
1/1/2006,08:50,13.86,322.1
1/1/2006,08:55,16.09,309.3
1/1/2006,09:00,12.49,306
1/1/2006,09:05,13.67,305.4
1/1/2006,09:10,11.95,327.6
1/1/2006,09:15,13.61,306.4
1/1/2006,09:20,13.45,300.9
1/1/2006,09:25,11.79,297
1/1/2006,09:30,8.49,299.5
1/1/2006,09:35,7.95,288.1
1/1/2006,09:40,8.69,297.7
1/1/2006,09:45,8.68,296
1/1/2006,09:50,11.67,299.1
1/1/2006,09:55,9.57,308.2
1/1/2006,10:00,12.76,317.9
1/1/2006,10:05,15.02,308.3
1/1/2006,10:10,14.77,310
1/1/2006,10:15,13.37,316.7
1/1/2006,10:20,13.83,313.8
1/1/2006,10:25,17.26,306.5
1/1/2006,10:30,15.74,314
1/1/2006,10:35,14.99,308.1
1/1/2006,10:40,16.78,294
1/1/2006,10:45,10.42,309
1/1/2006,10:50,13.2,330
1/1/2006,10:55,12.3,293.9
1/1/2006,11:00,13.01,297.9
1/1/2006,11:05,12.85,286.8
1/1/2006,11:10,8.47,306.4
1/1/2006,11:15,16.22,295.9
1/1/2006,11:20,16.53,299
1/1/2006,11:25,16.78,306.3
1/1/2006,11:30,15.52,301.7
1/1/2006,11:35,14.71,310.9
1/1/2006,11:40,18.91,296
1/1/2006,11:45,12.28,312.3
1/1/2006,11:50,11.5,316.9
1/1/2006,11:55,16.5,304
1/1/2006,12:00,13.03,327.1
1/1/2006,12:05,13.89,315.2
1/1/2006,12:10,14.92,320.2
1/1/2006,12:15,15.56,319.1
1/1/2006,12:20,15.55,312.7
1/1/2006,12:25,15.74,312.2
1/1/2006,12:30,18.82,298.8
1/1/2006,12:35,18.2,296.8
1/1/2006,12:40,19.75,294.8
1/1/2006,12:45,19.1,305.7
1/1/2006,12:50,20.6,293.1
1/1/2006,12:55,18.07,283.9
1/1/2006,13:00,16.32,288.3
1/1/2006,13:05,15.41,297.4
1/1/2006,13:10,15.01,294.9
1/1/2006,13:15,16.48,300.4
1/1/2006,13:20,16.64,291.1
1/1/2006,13:25,17.01,292.6
1/1/2006,13:30,19.91,294.6
1/1/2006,13:35,18.04,285.2
1/1/2006,13:40,19.59,288.2
1/1/2006,13:45,18.55,293.8
1/1/2006,13:50,16.54,288.3
1/1/2006,13:55,18.96,296
1/1/2006,14:00,16.39,296.7
1/1/2006,14:05,18.64,286.7
1/1/2006,14:10,19.61,293.3
1/1/2006,14:15,19.2,294.9
1/1/2006,14:20,20.94,295.9
1/1/2006,14:25,16.51,311.9
1/1/2006,14:30,14.96,321.7
1/1/2006,14:35,13.78,299.1
1/1/2006,14:40,16.05,291
1/1/2006,14:45,14.32,305.5
1/1/2006,14:50,15.69,287.1
1/1/2006,14:55,13.72,284.4
1/1/2006,15:00,15.72,287.6
1/1/2006,15:05,11.32,293
1/1/2006,15:10,15.67,285.2
1/1/2006,15:15,14.42,286
1/1/2006,15:20,13.08,289
1/1/2006,15:25,13.43,294.3
1/1/2006,15:30,12.14,297.2
1/1/2006,15:35,12.71,290.9
1/1/2006,15:40,10.72,289.9
1/1/2006,15:45,11.41,288.7
1/1/2006,15:50,12.24,298.4
1/1/2006,15:55,12.85,298.2
1/1/2006,16:00,9.86,303.4
1/1/2006,16:05,11.69,287.2
1/1/2006,16:10,11.17,300.6
1/1/2006,16:15,13.23,296.4
1/1/2006,16:20,12.35,290.8
1/1/2006,16:25,13.21,290.8
1/1/2006,16:30,14.1,290.2
1/1/2006,16:35,14.2,294.3
1/1/2006,16:40,13,295.4
1/1/2006,16:45,13.71,278.8
1/1/2006,16:50,15.1,284.4
1/1/2006,16:55,15.38,292.7
1/1/2006,17:00,16.19,295.3
1/1/2006,17:05,17.82,315
1/1/2006,17:10,12.57,312.9
1/1/2006,17:15,9.97,314
1/1/2006,17:20,7.33,291.6
1/1/2006,17:25,9.08,291.3
1/1/2006,17:30,10.95,286.8
1/1/2006,17:35,11.27,292.4
1/1/2006,17:40,10.96,299.5
1/1/2006,17:45,11.94,295.3
1/1/2006,17:50,12.16,295.6
1/1/2006,17:55,12.18,298.8
1/1/2006,18:00,12.61,300.3
1/1/2006,18:05,14.01,298.7
1/1/2006,18:10,10.38,290.2
1/1/2006,18:15,13.29,298.3
1/1/2006,18:20,14.08,303.5
1/1/2006,18:25,15.05,311.2
1/1/2006,18:30,14.1,306.7
1/1/2006,18:35,16.93,309.3
1/1/2006,18:40,13.55,320.8
1/1/2006,18:45,9.8,314.1
1/1/2006,18:50,10.23,301.6
1/1/2006,18:55,6.736,304.5
1/1/2006,19:00,8.43,270.2
1/1/2006,19:05,2.89,243.3
1/1/2006,19:10,2.474,313
1/1/2006,19:15,4.214,340.6
1/1/2006,19:20,7.54,290.5
1/1/2006,19:25,6.244,256.4
1/1/2006,19:30,9.28,298.9
1/1/2006,19:35,6.828,311.5
1/1/2006,19:40,7.53,280.3
1/1/2006,19:45,8.4,278.1
1/1/2006,19:50,8.47,275.8
1/1/2006,19:55,6.888,290.3
1/1/2006,20:00,6.601,319.4
1/1/2006,20:05,4.826,316.2
1/1/2006,20:10,5.084,305.2
1/1/2006,20:15,4.226,295.6
1/1/2006,20:20,8.27,282.5
1/1/2006,20:25,8.07,267.9
1/1/2006,20:30,7.75,273.5
1/1/2006,20:35,6.095,265.4
1/1/2006,20:40,8.5,271
1/1/2006,20:45,5.805,288.3
1/1/2006,20:50,8.17,286.6
1/1/2006,20:55,8.7,291.8
1/1/2006,21:00,8.5,290.4
1/1/2006,21:05,5.759,301
1/1/2006,21:10,3.872,324.8
1/1/2006,21:15,6.723,305
1/1/2006,21:20,5.819,284.7
1/1/2006,21:25,5.375,288
1/1/2006,21:30,4.312,270.6
1/1/2006,21:35,2.049,170.8
1/1/2006,21:40,3.756,129.9
1/1/2006,21:45,3.575,115.1
1/1/2006,21:50,3.664,79.6
1/1/2006,21:55,4.519,83.9
1/1/2006,22:00,4.118,108
1/1/2006,22:05,4.669,118.8
1/1/2006,22:10,4.154,109.7
1/1/2006,22:15,4.784,145.8
1/1/2006,22:20,4.002,87.9
1/1/2006,22:25,2.86,323.2
1/1/2006,22:30,2.502,10.02
1/1/2006,22:35,4.402,330.4
1/1/2006,22:40,9.56,294.1
1/1/2006,22:45,9.73,318.4
1/1/2006,22:50,10.97,319.6
1/1/2006,22:55,12.98,308.2
1/1/2006,23:00,11.55,310.9
1/1/2006,23:05,11.3,311.8
1/1/2006,23:10,11.3,324.1
1/1/2006,23:15,9.31,308.9
1/1/2006,23:20,7.88,281.9
1/1/2006,23:25,6.055,286.5
1/1/2006,23:30,7.89,288.5
1/1/2006,23:35,8.92,315.4
1/1/2006,23:40,11.13,319.5
1/1/2006,23:45,10.87,317.3
1/1/2006,23:50,11.21,326.4
1/1/2006,23:55,11.28,325
1/2/2006,00:00,11.68,320.8
1/2/2006,00:05,9.3,316
1/2/2006,00:10,9.52,317.3
1/2/2006,00:15,6.692,315.9
1/2/2006,00:20,6.298,324.7
1/2/2006,00:25,6.498,317.9
1/2/2006,00:30,8.19,320.7
1/2/2006,00:35,9.18,316.3
1/2/2006,00:40,8.48,315.4
1/2/2006,00:45,8.52,314.9
1/2/2006,00:50,6.24,301.9
1/2/2006,00:55,3.759,320.6
1/2/2006,01:00,4.325,317.4
1/2/2006,01:05,2.353,301.7
1/2/2006,01:10,2.774,267.7
1/2/2006,01:15,2.581,273.5
1/2/2006,01:20,4.905,319.2
1/2/2006,01:25,3.595,324.8
1/2/2006,01:30,2.788,328.8
1/2/2006,01:35,3.667,340.1
1/2/2006,01:40,4.297,332.2
1/2/2006,01:45,2.604,308.7
1/2/2006,01:50,2.392,302.8
1/2/2006,01:55,2.407,322.9
1/2/2006,02:00,3.751,340.9
1/2/2006,02:05,4.052,334.4
1/2/2006,02:10,3.436,346.8
1/2/2006,02:15,5.359,355.5
1/2/2006,02:20,5.57,348.1
1/2/2006,02:25,4.198,348.7
1/2/2006,02:30,4.678,348
1/2/2006,02:35,3.736,344.4
1/2/2006,02:40,3.223,342.7
1/2/2006,02:45,5.436,356.5
1/2/2006,02:50,7.24,355.4
1/2/2006,02:55,7.29,355.6
1/2/2006,03:00,5.265,345.3
1/2/2006,03:05,2.985,237.5
1/2/2006,03:10,1.36,176
1/2/2006,03:15,3.399,90.8
1/2/2006,03:20,3.649,94
1/2/2006,03:25,2.295,103.3
1/2/2006,03:30,1.242,93.2
1/2/2006,03:35,1.95,63.92
1/2/2006,03:40,2.426,18.81
1/2/2006,03:45,3.585,354
1/2/2006,03:50,4.305,.898
1/2/2006,03:55,4.844,355.4
1/2/2006,04:00,4.79,359.7
1/2/2006,04:05,3.953,351
1/2/2006,04:10,3.388,357.6
1/2/2006,04:15,3.033,360
1/2/2006,04:20,3.682,4.757
1/2/2006,04:25,4.14,8.17
1/2/2006,04:30,4.77,10.92
1/2/2006,04:35,4.575,24.87
1/2/2006,04:40,3.635,26.92
1/2/2006,04:45,2.917,29.7
1/2/2006,04:50,2.65,17.67
1/2/2006,04:55,2.856,2.487
1/2/2006,05:00,4.55,353.4
1/2/2006,05:05,4.675,357.5
1/2/2006,05:10,5.034,357.8
1/2/2006,05:15,5.066,1.527
1/2/2006,05:20,5.403,3.944
1/2/2006,05:25,6.499,8.63
1/2/2006,05:30,6.002,18.78
1/2/2006,05:35,5.772,15.19
1/2/2006,05:40,5.536,20.36
1/2/2006,05:45,5.783,15
1/2/2006,05:50,3.319,14.44
1/2/2006,05:55,3.593,26.64
1/2/2006,06:00,4.395,16.83
1/2/2006,06:05,5.825,9.04
1/2/2006,06:10,5.321,13.44
1/2/2006,06:15,2.727,18.02
1/2/2006,06:20,3.165,135.8
1/2/2006,06:25,1.955,117.2
1/2/2006,06:30,3.517,98.4
1/2/2006,06:35,3.362,92.2
1/2/2006,06:40,2.204,117.5
1/2/2006,06:45,2.239,122
1/2/2006,06:50,2.428,121.7
1/2/2006,06:55,2.145,92.7
1/2/2006,07:00,1.31,75.5
1/2/2006,07:05,1.623,96.7
1/2/2006,07:10,1.701,87.5
1/2/2006,07:15,.835,117.9
1/2/2006,07:20,1.953,93
1/2/2006,07:25,2.371,115
1/2/2006,07:30,1.238,101.7
1/2/2006,07:35,1.011,91.2
1/2/2006,07:40,1.083,96.1
1/2/2006,07:45,2.538,110.5
1/2/2006,07:50,1.597,131.8
1/2/2006,07:55,1.301,99.6
1/2/2006,08:00,.902,92.5
1/2/2006,08:05,2.612,114.5
