Date(YYYY-MM-DD hh:mm:ss),windspeed,ratedpoweroutput,SCORE,CorrectedScore
2006-01-01 00:00:00,22.020,30.000,30.000,30.000
2006-01-01 00:10:00,22.440,30.000,28.416,28.416
2006-01-01 00:20:00,22.900,30.000,29.739,29.739
2006-01-01 00:30:00,23.380,30.000,29.752,29.752
2006-01-01 00:40:00,23.890,30.000,28.202,28.202
2006-01-01 00:50:00,24.230,30.000,30.000,30.000
2006-01-01 01:00:00,24.250,30.000,29.209,29.209
2006-01-01 01:10:00,23.990,30.000,30.000,30.000
2006-01-01 01:20:00,23.750,30.000,30.000,30.000
2006-01-01 01:30:00,23.800,30.000,29.863,29.863
2006-01-01 01:40:00,23.950,30.000,30.000,30.000
2006-01-01 01:50:00,23.990,30.000,30.000,30.000
2006-01-01 02:00:00,24.170,30.000,30.000,30.000
2006-01-01 02:10:00,24.560,30.000,28.545,28.545
2006-01-01 02:20:00,25.140,30.000,30.000,30.000
2006-01-01 02:30:00,25.940,30.000,29.383,29.383
2006-01-01 02:40:00,26.730,30.000,30.000,30.000
2006-01-01 02:50:00,27.290,30.000,29.306,29.306
2006-01-01 03:00:00,27.770,21.063,21.289,21.289
2006-01-01 03:10:00,28.240, 8.268, 9.895,9.895
2006-01-01 03:20:00,28.890, 0.000, 0.000,0.000
2006-01-01 03:30:00,29.900, 0.000, 0.000,0.000
2006-01-01 03:40:00,30.690, 0.000, 0.000,0.000
2006-01-01 03:50:00,31.070, 0.000, 0.000,0.000
2006-01-01 04:00:00,31.240, 0.000, 0.000,0.000
2006-01-01 04:10:00,31.300, 0.000, 0.000,0.000
2006-01-01 04:20:00,31.400, 0.000, 0.000,0.000
2006-01-01 04:30:00,31.590, 0.000, 0.000,0.000
2006-01-01 04:40:00,32.010, 0.000, 0.000,0.000
2006-01-01 04:50:00,32.450, 0.000, 0.000,0.000
2006-01-01 05:00:00,32.800, 0.000, 0.000,0.000
2006-01-01 05:10:00,33.080, 0.000, 0.000,0.000
2006-01-01 05:20:00,33.420, 0.000, 0.000,0.000
2006-01-01 05:30:00,33.760, 0.000, 0.000,0.000
2006-01-01 05:40:00,33.930, 0.000, 0.000,0.000
2006-01-01 05:50:00,33.920, 0.000, 0.000,0.000
2006-01-01 06:00:00,33.940, 0.000, 0.000,0.000
2006-01-01 06:10:00,33.900, 0.000, 0.000,0.000
2006-01-01 06:20:00,33.810, 0.000, 0.000,0.000
2006-01-01 06:30:00,33.720, 0.000, 0.000,0.000
2006-01-01 06:40:00,33.620, 0.000, 0.000,0.000
2006-01-01 06:50:00,33.510, 0.000, 0.000,0.000
2006-01-01 07:00:00,33.360, 0.000, 0.000,0.000
2006-01-01 07:10:00,33.290, 0.000, 0.000,0.000
2006-01-01 07:20:00,33.300, 0.000, 0.000,0.000
2006-01-01 07:30:00,33.360, 0.000, 0.000,0.000
2006-01-01 07:40:00,33.380, 0.000, 0.000,0.000
2006-01-01 07:50:00,33.360, 0.000, 0.000,0.000
2006-01-01 08:00:00,33.270, 0.000, 0.000,0.000
2006-01-01 08:10:00,33.080, 0.000, 0.000,0.000
2006-01-01 08:20:00,32.680, 0.000, 0.000,0.000
2006-01-01 08:30:00,32.180, 0.000, 0.000,0.000
2006-01-01 08:40:00,31.650, 0.000, 0.000,0.000
2006-01-01 08:50:00,31.140, 0.000, 0.000,0.000
2006-01-01 09:00:00,30.750, 0.000, 0.000,0.000
2006-01-01 09:10:00,30.380, 0.000, 0.000,0.000
2006-01-01 09:20:00,30.120, 0.000, 0.000,0.000
2006-01-01 09:30:00,29.750, 0.000, 0.000,0.000
2006-01-01 09:40:00,29.190, 0.000, 0.000,0.000
2006-01-01 09:50:00,28.470, 1.368, 1.346,0.000
2006-01-01 10:00:00,27.430,29.757,29.245,0.000
2006-01-01 10:10:00,26.270,30.000,30.000,0.000
2006-01-01 10:20:00,25.270,30.000,28.868,0.000
2006-01-01 10:30:00,24.630,30.000,30.000,0.000
2006-01-01 10:40:00,24.370,30.000,30.000,0.000
2006-01-01 10:50:00,24.060,30.000,29.228,0.000
2006-01-01 11:00:00,23.740,30.000,30.000,0.000
2006-01-01 11:10:00,23.620,30.000,30.000,0.000
2006-01-01 11:20:00,23.500,30.000,30.000,0.000
2006-01-01 11:30:00,23.490,30.000,30.000,0.000
2006-01-01 11:40:00,23.320,30.000,30.000,0.000
2006-01-01 11:50:00,23.100,30.000,30.000,0.000
2006-01-01 12:00:00,22.880,30.000,30.000,0.000
2006-01-01 12:10:00,22.750,30.000,27.670,27.670
2006-01-01 12:20:00,22.670,30.000,30.000,30.000
2006-01-01 12:30:00,22.590,30.000,30.000,30.000
2006-01-01 12:40:00,22.580,30.000,28.039,28.039
2006-01-01 12:50:00,22.450,30.000,29.271,29.271
2006-01-01 13:00:00,22.410,30.000,28.705,28.705
2006-01-01 13:10:00,22.580,30.000,30.000,30.000
2006-01-01 13:20:00,22.540,30.000,30.000,30.000
2006-01-01 13:30:00,22.470,30.000,28.990,28.990
2006-01-01 13:40:00,22.550,30.000,30.000,30.000
2006-01-01 13:50:00,22.700,30.000,30.000,30.000
2006-01-01 14:00:00,22.320,30.000,30.000,30.000
2006-01-01 14:10:00,22.280,30.000,30.000,30.000
2006-01-01 14:20:00,22.370,30.000,30.000,30.000
2006-01-01 14:30:00,22.430,30.000,30.000,30.000
2006-01-01 14:40:00,22.670,30.000,30.000,30.000
2006-01-01 14:50:00,23.070,30.000,28.729,28.729
2006-01-01 15:00:00,23.510,30.000,29.350,29.350
2006-01-01 15:10:00,24.100,30.000,29.307,29.307
2006-01-01 15:20:00,24.280,30.000,28.805,28.805
2006-01-01 15:30:00,24.540,30.000,30.000,30.000
2006-01-01 15:40:00,25.390,30.000,30.000,30.000
2006-01-01 15:50:00,27.170,30.000,28.397,28.397
2006-01-01 16:00:00,30.670, 0.000, 0.000,0.000
2006-01-01 16:10:00,33.730, 0.000, 0.000,0.000
2006-01-01 16:20:00,35.090, 0.000, 0.000,0.000
2006-01-01 16:30:00,35.150, 0.000, 0.000,0.000
2006-01-01 16:40:00,34.020, 0.000, 0.000,0.000
2006-01-01 16:50:00,32.840, 0.000, 0.000,0.000
2006-01-01 17:00:00,32.160, 0.000, 0.000,0.000
2006-01-01 17:10:00,31.740, 0.000, 0.000,0.000
2006-01-01 17:20:00,31.380, 0.000, 0.000,0.000
2006-01-01 17:30:00,31.200, 0.000, 0.000,0.000
2006-01-01 17:40:00,31.900, 0.000, 0.000,0.000
2006-01-01 17:50:00,32.500, 0.000, 0.000,0.000
2006-01-01 18:00:00,32.870, 0.000, 0.000,0.000
2006-01-01 18:10:00,33.070, 0.000, 0.000,0.000
2006-01-01 18:20:00,33.160, 0.000, 0.000,0.000
2006-01-01 18:30:00,32.890, 0.000, 0.000,0.000
2006-01-01 18:40:00,32.210, 0.000, 0.000,0.000
2006-01-01 18:50:00,32.550, 0.000, 0.000,0.000
2006-01-01 19:00:00,33.410, 0.000, 0.000,0.000
2006-01-01 19:10:00,33.460, 0.000, 0.000,0.000
2006-01-01 19:20:00,33.640, 0.000, 0.000,0.000
2006-01-01 19:30:00,34.460, 0.000, 0.000,0.000
2006-01-01 19:40:00,35.230, 0.000, 0.000,0.000
2006-01-01 19:50:00,35.470, 0.000, 0.000,0.000
2006-01-01 20:00:00,35.320, 0.000, 0.000,0.000
2006-01-01 20:10:00,34.970, 0.000, 0.000,0.000
2006-01-01 20:20:00,34.490, 0.000, 0.000,0.000
2006-01-01 20:30:00,35.210, 0.000, 0.000,0.000
2006-01-01 20:40:00,35.060, 0.000, 0.000,0.000
2006-01-01 20:50:00,35.230, 0.000, 0.000,0.000
2006-01-01 21:00:00,35.370, 0.000, 0.000,0.000
2006-01-01 21:10:00,35.660, 0.000, 0.000,0.000
2006-01-01 21:20:00,35.980, 0.000, 0.000,0.000
2006-01-01 21:30:00,36.030, 0.000, 0.000,0.000
2006-01-01 21:40:00,35.440, 0.000, 0.000,0.000
2006-01-01 21:50:00,34.030, 0.000, 0.000,0.000
2006-01-01 22:00:00,34.020, 0.000, 0.000,0.000
2006-01-01 22:10:00,32.500, 0.000, 0.000,0.000
2006-01-01 22:20:00,30.630, 0.000, 0.000,0.000
2006-01-01 22:30:00,28.580, 0.000, 0.000,0.000
2006-01-01 22:40:00,26.890,30.000,30.000,0.000
2006-01-01 22:50:00,23.760,30.000,30.000,0.000
2006-01-01 23:00:00,23.620,30.000,30.000,0.000
2006-01-01 23:10:00,21.820,30.000,29.873,0.000
2006-01-01 23:20:00,22.290,30.000,30.000,30.000
2006-01-01 23:30:00,22.740,30.000,29.251,29.251
2006-01-01 23:40:00,21.900,30.000,30.000,30.000
2006-01-01 23:50:00,20.640,30.000,30.000,30.000
2006-01-02 00:00:00,20.030,30.000,27.573,27.573
2006-01-02 00:10:00,18.030,30.000,30.000,30.000
2006-01-02 00:20:00,16.480,29.949,30.000,30.000
2006-01-02 00:30:00,14.700,28.848,30.000,30.000
2006-01-02 00:40:00,14.110,27.894,28.341,28.341
2006-01-02 00:50:00,14.500,28.623,27.653,27.653
