Date(YYYY-MM-DD hh:mm:ss),windspeed,ratedpoweroutput,SCORE,CorrectedScore
2006-01-01 00:00:00,20.330,30.000,30.000,30.000
2006-01-01 00:10:00,20.510,30.000,30.000,30.000
2006-01-01 00:20:00,20.610,30.000,29.037,29.037
2006-01-01 00:30:00,20.710,30.000,29.899,29.899
2006-01-01 00:40:00,20.510,30.000,29.480,29.480
2006-01-01 00:50:00,20.250,30.000,29.406,29.406
2006-01-01 01:00:00,19.970,30.000,30.000,30.000
2006-01-01 01:10:00,19.970,30.000,30.000,30.000
2006-01-01 01:20:00,19.840,30.000,28.992,28.992
2006-01-01 01:30:00,19.820,30.000,28.682,28.682
2006-01-01 01:40:00,19.980,30.000,30.000,30.000
2006-01-01 01:50:00,20.170,30.000,30.000,30.000
2006-01-01 02:00:00,20.430,30.000,29.272,29.272
2006-01-01 02:10:00,20.650,30.000,30.000,30.000
2006-01-01 02:20:00,20.930,30.000,28.458,28.458
2006-01-01 02:30:00,21.150,30.000,30.000,30.000
2006-01-01 02:40:00,21.230,30.000,30.000,30.000
2006-01-01 02:50:00,21.270,30.000,30.000,30.000
2006-01-01 03:00:00,21.130,30.000,29.293,29.293
2006-01-01 03:10:00,21.140,30.000,30.000,30.000
2006-01-01 03:20:00,21.310,30.000,27.236,27.236
2006-01-01 03:30:00,21.270,30.000,28.494,28.494
2006-01-01 03:40:00,21.420,30.000,30.000,30.000
2006-01-01 03:50:00,21.220,30.000,29.505,29.505
2006-01-01 04:00:00,21.040,30.000,30.000,30.000
2006-01-01 04:10:00,20.890,30.000,29.390,29.390
2006-01-01 04:20:00,21.010,30.000,30.000,30.000
2006-01-01 04:30:00,21.150,30.000,30.000,30.000
2006-01-01 04:40:00,21.400,30.000,30.000,30.000
2006-01-01 04:50:00,21.790,30.000,27.333,27.333
2006-01-01 05:00:00,22.200,30.000,29.131,29.131
2006-01-01 05:10:00,22.220,30.000,29.457,29.457
2006-01-01 05:20:00,22.450,30.000,29.211,29.211
2006-01-01 05:30:00,22.640,30.000,30.000,30.000
2006-01-01 05:40:00,22.770,30.000,30.000,30.000
2006-01-01 05:50:00,22.750,30.000,30.000,30.000
2006-01-01 06:00:00,22.850,30.000,30.000,30.000
2006-01-01 06:10:00,22.870,30.000,29.115,29.115
2006-01-01 06:20:00,22.840,30.000,28.546,28.546
2006-01-01 06:30:00,22.670,30.000,30.000,30.000
2006-01-01 06:40:00,22.550,30.000,30.000,30.000
2006-01-01 06:50:00,22.320,30.000,28.617,28.617
2006-01-01 07:00:00,22.340,30.000,30.000,30.000
2006-01-01 07:10:00,21.830,30.000,30.000,30.000
